ProjectName,LayerCategory,CategoryID,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType,LocationSeq,IsPrimary,ParcelID
Pavich - Happy Hollow Ln,"Industry, Mining & Agriculture",3,Village Council,Regular Meeting,Village Council,2021-02-17,2021-02-17,2021,Accepted,2595,5,Ordinance,"Pavich (Rezoning Case) Ordinance No. 2021-02 Ordinance No. 2021-02 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG-2) to Estero Planned Development (EPD) for a .73-Acre Parcel at the Intersecti...","Pavich (Rezoning Case) Ordinance No. 2021-02 Ordinance No. 2021-02 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG-2) to Estero Planned Development (EPD) for a .73-Acre Parcel at the Intersection of Co. Action: Passed First Reading and schedule Second Reading for March 3, 2021","Passed First Reading and schedule Second Reading for March 3, 2021","Passed First Reading and schedule Second Reading for March 3, 2021","Passed First Reading and schedule Second Reading for March 3, 2021",,,Detected,,Ordinance No. 2021-02,,21250 HAPPY HOLLOW LN,21250 HAPPY HOLLOW LN,26.43100891473684,-81.80627237841547,0.5,TD/CS,2172021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/2172021%20minutes.pdf,AgendaItemLocation,1,true,334625E2U19602366
Pavich - Happy Hollow Ln,"Industry, Mining & Agriculture",3,Village Council,Regular Meeting,Village Council,2021-02-17,2021-02-17,2021,Accepted,2597,7,Ordinance,"Pavich (Rezoning Case) Ordinance No. 2021-02 Ordinance No. 2021-02 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG-2) to Estero Planned Development (EPD) for a .73-Acre Parcel at the Intersecti...","Pavich (Rezoning Case) Ordinance No. 2021-02 Ordinance No. 2021-02 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG-2) to Estero Planned Development (EPD) for a .73-Acre Parcel at the Intersection of Co. Action: Pass First Reading and schedule Second Reading for March 3 or March 10, 2021. Staff Presentation/Comments: Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments: Councilmembers McLai...","Pass First Reading and schedule Second Reading for March 3 or March 10, 2021. Staff Presentation/Comments: Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments: Councilmembers McLain, Levitan, Vice Mayor Errington, and Mayor Ribble","Pass First Reading and schedule Second Reading for March 3 or March 10, 2021. Staff Presentation/Comments: Steve Sarkozy, Village Manager Mary Gibbs, Community Development Director Council Questions or Comments: Councilmembers McLain, Levitan, Vice Mayor Errington, and Mayor Ribble",,,,,,Ordinance No. 2021-02,,21250 HAPPY HOLLOW LN,21250 HAPPY HOLLOW LN,26.43100891473684,-81.80627237841547,0.5,TD/CS,2172021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/2172021%20minutes.pdf,AgendaItemLocation,1,true,334625E2U19602366
Via Coconut Rezoning Ordinance - Via Coconut Point,"Industry, Mining & Agriculture",3,Village Council,Regular Meeting,Village Council,2021-09-22,2021-09-22,2021,Accepted,1633,10,Ordinance,"Via Coconut Rezoning Ordinance 2021-10 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG) to Estero Planned Development (EPD) For A 19.53-Acre Parcel On the West Side of Via Coconut, South of Cor...","Via Coconut Rezoning Ordinance 2021-10 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG) to Estero Planned Development (EPD) For A 19.53-Acre Parcel On the West Side of Via Coconut, South of Corkscrew R. Action: Passed the First Reading and scheduled Second Reading for October 20, 2021","Passed the First Reading and scheduled Second Reading for October 20, 2021","Passed the First Reading and scheduled Second Reading for October 20, 2021","Passed the First Reading and scheduled Second Reading for October 20, 2021",,,Detected,,Ordinance 2021-10,,Via Coconut Point,"Via Coconut Point from Coconut Road to Corkscrew Road, Estero, FL",26.420479,-81.80657,0.9,TD/CS,09222021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/09222021%20minutes.pdf,AgendaItemLocation,1,true,
Via Coconut Rezoning Ordinance - Via Coconut Point,"Industry, Mining & Agriculture",3,Village Council,Regular Meeting,Village Council,2021-10-20,2021-10-20,2021,Accepted,1838,4,Ordinance,"Via Coconut Rezoning Ordinance 2021-10 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG) and Parks and Community Facilities (PCF) to Estero Planned Development (EPD) for a 20-Acre Parcel on the...","Via Coconut Rezoning Ordinance 2021-10 of the Village Council of the Village of Estero, Florida, Considering a Rezoning from Agriculture (AG) and Parks and Community Facilities (PCF) to Estero Planned Development (EPD) for a 20-Acre Parcel on the West Sid. Action: Approved Ordinance 2021-10 with the additional condition number 26 and the revision to condition 19 regarding maintenance",Approved Ordinance 2021-10 with the additional condition number 26 and the revision to condition 19 regarding maintenance,Approved Ordinance 2021-10 with the additional condition number 26 and the revision to condition 19 regarding maintenance,Approved Ordinance 2021-10 with the additional condition number 26 and the revision to condition 19 regarding maintenance,,,Detected,,Ordinance 2021-10,,Via Coconut Point,"Via Coconut Point from Coconut Road to Corkscrew Road, Estero, FL",26.420479,-81.80657,0.9,TD/CS,10202021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/10202021%20minutes.pdf,AgendaItemLocation,1,true,
Resolution 2020-08 - along Williams Road,"Industry, Mining & Agriculture",3,Village Council,Regular Meeting,Village Council,2020-06-17,2020-06-17,2020,Accepted,1011,4,Resolution,"Resolution No. 2020-08 A Resolution of the Village Council of the Village of Estero, Florida Authorizing the Purchase of 9.2± acres on Williams Road and the Sale of 2.7 acres of surplus property on County Road; Determining that it is in the best i...","Resolution No. 2020-08 A Resolution of the Village Council of the Village of Estero, Florida Authorizing the Purchase of 9.2± acres on Williams Road and the Sale of 2.7 acres of surplus property on County Road; Determining that it is in the best interest . Action: Approved Resolution No.2020-08, which authorizes the Mayor to sign the purchase agreement and sale agreement and authorizes the Village Manager and Village Attorney to complete any necessary due diligence or other actions to consumm...","Approved Resolution No.2020-08, which authorizes the Mayor to sign the purchase agreement and sale agreement and authorizes the Village Manager and Village Attorney to complete any necessary due diligence or other actions to consummate and close the purchase and sale of the properties in accordance with terms of the Purchase and Sale Agreements","Approved Resolution No.2020-08, which authorizes the Mayor to sign the purchase agreement and sale agreement and authorizes the Village Manager and Village Attorney to complete any necessary due diligence or other actions to consummate and close the purchase and sale of the properties in accordance with terms of the Purchase and Sale Agreements","Approved Resolution No.2020-08, which authorizes the Mayor to sign the purchase agreement and sale agreement and authorizes the Village Manager and Village Attorney to complete any necessary due diligence or other actions to consummate and close the purchase and sale of the properties in accordance with terms of the Purchase and Sale Agreements",,,Detected,,Resolution No. 2020-08,,along Williams Road,along Williams Road,26.420210096558677,-81.81166992220037,0.7,,061720 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/061720%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation,1,true,
