ProjectName,LayerCategory,CategoryID,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType,LocationSeq,IsPrimary,ParcelID
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-09-12,2023-09-12,2023,Accepted,1515,2,Vote,"Goodwill Industries - Development Order (DOS2023-E005) (District 5) ±2.69-acre vacant parcel located at the southeast corner of Corkscrew Road and Three Oaks Parkway in the Estero Town Center Commercial Planned Development (CPD), also known as Low...","Goodwill Industries - Development Order (DOS2023-E005) (District 5) ±2.69-acre vacant parcel located at the southeast corner of Corkscrew Road and Three Oaks Parkway in the Estero Town Center Commercial Planned Development (CPD), also known as Lowes Plaza. Action: Approved Development Order with staff conditions",Approved Development Order with staff conditions,Approved Development Order with staff conditions,Approved Development Order with staff conditions,,,See minutes,,DOS2023-E005,5,"10041 Estero Town Commons Place, Estero, FL","10041 Estero Town Commons Place, Estero, FL",26.4306485776,-81.787676765485,1.0,null,09122023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/09122023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-08-22,2023-08-22,2023,Accepted,1365,3,Vote,"Wawa Convenience Food & Beverage Store with Gas Development Order (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road. The site was previously developed and operated as a Ruby Tuesday Restaurant. Applicant is seeki...","Wawa Convenience Food & Beverage Store with Gas Development Order (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road. The site was previously developed and operated as a Ruby Tuesday Restaurant. Applicant is seeking to re. Action: Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of...","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff",,,See minutes,,DOS2022-E016,4,10081 ESTERO TOWN COMMONS PL,10081 ESTERO TOWN COMMONS PL,26.43076631928911,-81.78522309388235,0.98,null,08222023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/08222023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E1390000020
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-07-12,2022-07-12,2022,Accepted,1203,2,Unknown,"Zoning Amendment and Deviations - Estero Town Center - Wawa (DCI2021-E004) (District 5) 10081 Estero Town Commons, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Lowe's Plaza. Applicant seeks to am...","Zoning Amendment and Deviations - Estero Town Center - Wawa (DCI2021-E004) (District 5) 10081 Estero Town Commons, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Lowe's Plaza. Applicant seeks to amend the . Action: Recommended to the Council to amend the Commercial Planned Development to allow a convenience store with gas pumps, and the addition of only one fast food restaurant and deny deviation 7 for the canopy. Additionally modify condition...","Recommended to the Council to amend the Commercial Planned Development to allow a convenience store with gas pumps, and the addition of only one fast food restaurant and deny deviation 7 for the canopy. Additionally modify conditions 3 and 9 and delete conditions 7 and 12","Recommended to the Council to amend the Commercial Planned Development to allow a convenience store with gas pumps, and the addition of only one fast food restaurant and deny deviation 7 for the canopy. Additionally modify conditions 3 and 9 and delete conditions 7 and 12",,,,See minutes,,DCI2021-E004,5,"10081 Estero Town Commons Place, Estero, FL","10081 Estero Town Commons Place, Estero, FL",26.430921743825,-81.785430080157,1.0,null,07122022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/07122022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
"The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash",Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-03-12,2024-03-12,2024,Accepted,365,3,Public Comment,"The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash","The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Action: No formal action recorded. The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and...","No formal action recorded. The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Brent Addison, P.E., Banks Engineering Cheryl Schweiker, AIA, Jarmel/Kizel Architects & Engineers Brandon Guy, ForeFront Development Group Board Questions or Comments Board Members Sheeley, Wallace, Tatooles, and Jeannin. Public Comment None","No formal action recorded. The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Brent Addison, P.E., Banks Engineering Cheryl Schweiker, AIA, Jarmel/Kizel Architects & Engineers Brandon Guy, ForeFront Development Group Board Questions or Comments Board Members Sheeley, Wallace, Tatooles, and Jeannin. Public Comment None",,,,,,DOS2024-E004,4,10100 ARCOS AVE,10100 ARCOS AVE,26.43361648020414,-81.78794350168731,0.98,null,03122024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/03122024%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E13100A0000
"The Goddard School for Early Childhood Development - Development Order (No application submitted) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic C...",Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-12-12,2023-12-12,2023,Accepted,2211,3,Public Comment,"The Goddard School for Early Childhood Development - Development Order (No application submitted) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic C...","The Goddard School for Early Childhood Development - Development Order (No application submitted) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash.. Action: No formal action recorded. The Goddard School for Early Childhood Development - Development Order (No application submitted) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Wa...","No formal action recorded. The Goddard School for Early Childhood Development - Development Order (No application submitted) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Applicant seeks to construct an 11,650 sq. ft. learning center. Staff Presentation/Comments Jim Hart, Development Review Manager Presentation/Information by Village Consultants Brent Addison, P.E., Banks Engineering Mike Thompson, Goddard School for Early Childhood Development Cheryl Schweiker, AIA, Jarmel/Kizel Architects & Engineers Public Comment None. Board Questions or Comments Board Members Wallace, Tatooles, Jones, and Vice Chairman Gargano","No formal action recorded. The Goddard School for Early Childhood Development - Development Order (No application submitted) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Applicant seeks to construct an 11,650 sq. ft. learning center. Staff Presentation/Comments Jim Hart, Development Review Manager Presentation/Information by Village Consultants Brent Addison, P.E., Banks Engineering Mike Thompson, Goddard School for Early Childhood Development Cheryl Schweiker, AIA, Jarmel/Kizel Architects & Engineers Public Comment None. Board Questions or Comments Board Members Wallace, Tatooles, Jones, and Vice Chairman Gargano",,,,,,,4,10100 ARCOS AVE,10100 ARCOS AVE,26.43361648020414,-81.78794350168731,0.98,null,12122023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/12122023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E13100A0000
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-06-14,2022-06-14,2022,Accepted,981,8,Vote,"Development Order - Arcos Executive Center (District 4) (DOS2017-E006) 10170 and 10150 Arcos Avenue, Plaza Del Sol Commercial Planned Development, Parcels B and C, Northeast corner of Corkscrew Road and Three Oaks Parkway. - Development Order for...","Development Order - Arcos Executive Center (District 4) (DOS2017-E006) 10170 and 10150 Arcos Avenue, Plaza Del Sol Commercial Planned Development, Parcels B and C, Northeast corner of Corkscrew Road and Three Oaks Parkway. - Development Order for a 45-foo. Action: continued",continued,continued,continued,,,Detected,,DOS2017-E006,4,10150 ARCOS AVE,10150 ARCOS AVE,26.4323387671025,-81.78783499987172,0.98,null,06142022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/06142022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E13100B0000
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-08-09,2022-08-09,2022,Accepted,1320,2,Vote,"Development Order - Arcos Executive Office (District 4) (DOS2017-E006) 10170 and 10150 Arcos Avenue, Plaza Del Sol Commercial Planned Development, Parcels B and C, located at the northeast corner of Corkscrew Road and Three Oaks Parkway. Developme...","Development Order - Arcos Executive Office (District 4) (DOS2017-E006) 10170 and 10150 Arcos Avenue, Plaza Del Sol Commercial Planned Development, Parcels B and C, located at the northeast corner of Corkscrew Road and Three Oaks Parkway. Development Order. Action: Approved the Development Order with the exception of the monument sign",Approved the Development Order with the exception of the monument sign,Approved the Development Order with the exception of the monument sign,Approved the Development Order with the exception of the monument sign,,,See minutes,,DOS2017-E006,4,10150 ARCOS AVE,10150 ARCOS AVE,26.4323387671025,-81.78783499987172,0.98,null,08092022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/08092022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E13100B0000
"Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final...",Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-12-12,2023-12-12,2023,Accepted,2210,2,Ordinance,"Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final...","Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action A. Action: No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol C...","No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date.  Applicant seeks zoning amendment for Parcel ""G"" in the Plaza Del Sol CPD to allow for a mixed-use project that includes storage, hotel, retail / restaurant / medical office, and associated infrastructure. Property was zoned for Assisted Living Facility (Phoenix) that was ne","No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date.  Applicant seeks zoning amendment for Parcel ""G"" in the Plaza Del Sol CPD to allow for a mixed-use project that includes storage, hotel, retail / restaurant / medical office, and associated infrastructure. Property was zoned for Assisted Living Facility (Phoenix) that was ne",,,,,June 8,,4,10251 ARCOS AVE,10251 ARCOS AVE,26.433481009353372,-81.78575313231335,0.98,null,12122023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/12122023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E13100G0010
"Estero Storage at Arcos Avenue - Development Order DOS2025-E003 (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD)",Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-04-08,2025-04-08,2025,Pending,543,3,Public Comment,"Estero Storage at Arcos Avenue - Development Order DOS2025-E003 (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD)","Estero Storage at Arcos Avenue - Development Order DOS2025-E003 (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD). Action: No formal action recorded. Estero Storage at Arcos Avenue - Development Order DOS2025-E003 (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned...","No formal action recorded. Estero Storage at Arcos Avenue - Development Order DOS2025-E003 (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD). Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by John Wojdak, PE, RESPEC Public Comment None. Board Questions or Comments Board Members Wallace, Jones, and Vice Chairman Sheeley","No formal action recorded. Estero Storage at Arcos Avenue - Development Order DOS2025-E003 (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD). Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by John Wojdak, PE, RESPEC Public Comment None. Board Questions or Comments Board Members Wallace, Jones, and Vice Chairman Sheeley",,,,,,DOS2025-E003,4,10251 ARCOS AVE,10251 ARCOS AVE,26.433481009353372,-81.78575313231335,0.98,null,04082025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/04082025%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E13100G0010
"Plaza Del Sol CPD- Zoning Amendment (DCI2024-E002) (District 4) 0251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Applicant seeks zonin...",Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-06-11,2024-06-11,2024,Accepted,965,4,Unknown,"Plaza Del Sol CPD- Zoning Amendment (DCI2024-E002) (District 4) 0251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Applicant seeks zonin...","Plaza Del Sol CPD- Zoning Amendment (DCI2024-E002) (District 4) 0251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Applicant seeks zoning amendm. Action: Recommended approval to the Village Council with staff conditions and the additional modifications to the Pattern Book and phasing conditions",Recommended approval to the Village Council with staff conditions and the additional modifications to the Pattern Book and phasing conditions,Recommended approval to the Village Council with staff conditions and the additional modifications to the Pattern Book and phasing conditions,,,,See minutes,,DCI2024-E002,4,10251 Arcos Avenue,"10251 Arcos Avenue, Estero, FL",26.43347675746,-81.785746161726,1.0,null,06112024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/06112024%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
